id;text;homotransphobic;reappropriation
244;siate uomini, donne, asessuati, transessuali, etero, gay, pansessuali o qualsiasi cosa vogliate per quanto mi riguarda siete tutti liberi di fare ciò che volete ma non siate interisti gli interisti devono bruciare vivi;0;0
249;@user_abcdefgh Sei un rotto in culo e tua madre è una puttana troia;1;0
277;ma la band ucrainazi di #eurovision è almeno frocia e quadrivaccynata? bisogna essere diversy e inclusivy 🌈;1;0
279;X frocia nuova ❤️ [URL];0;1
280;Adoro la thirstaggine frocia di Malgioglio ficcata in primetime sul primo canale #Eurovision;0;0
302;@user_abcdefghi Potevi essere solo interista figlio di troia succhiacazzi;1;0
323;Sono frocia semplice vedo una f pesante e per me merita automaticamente la vittoria #chanel #Eurovision #ESCita;0;1
325;La spagnola ha risvegliato l'ormone anche a una frocia come me! Bravissima la cugina di Camila Cabello #Eurovision #escita;0;1
348;Non siamo anti-gay Non siamo anti-trans Siete liberi di fare Siete liberi di amare Siete liberi di cambiare MA LASCIATE STARE I BAMBINI !!! 🛑 NO IDEOLOGIA GENDER NELLE SCUOLE 🛑 🤡🇮🇹#DDLZan #Scuola #Draghistan #Draghi #NOM #Speranza #Letta #PD #Italia [URL];1;0
357;la mia ideologia è sostituire la destra frocia con rapper cubani [URL];1;0
363;@user_abcdefg @user_abc @user_abcdefghij @user_ab @user_abcde @user_abcdef @user_abcdefghi Parlare con una donna è letteralmente la cosa più frocia che è possibile commettere;0;0
376;La Provincia di Siena e 14 Comuni dicono basta all’odio contro le persone gay, lesbiche, bisessuali, transgender, intersex e asessuali [URL];0;0
385;questo frocio con il tatuaggio del nome del moroso odio i gay;1;0
388;Oggi si celebra la giornata internazionale contro l’omo-transfobia. Gay e transessuali, quelli che secondo governo e chiesa russa (e i loro “minions” occidentali) sono una malattia da estirpare. Per dire, dove stanno i veri nazifascisti. #omofobia;0;0
390;Vogliono contagiare i nostri figli e farli diventare gay!1!1!1! Questo è il livello! Se vi preoccupa che si parli di rispetto, uguaglianza, discriminazione e diritti siete senza speranze. #omotransfobia;0;0
392;ma ve lo ricordate il tizio gay cis transfobico con l'icon di togepi che si definiva femminista radicale cioè che ne sanno i nuovi account c'ha passat questo social;0;0
396;Again PD per i gay, trans, e compagnia bella, i musulmani a targhe alterne. Destra ferocia pure con gay e trans, ma menandola al musulmano che non accetta le cose occidentali, mi fate schifo, entrambi, resto a casa, non voto. Fine.;0;0
399;"@user_abcdefghij 😂 Apriti cielo! 😂 Ora #Bargiggia verrà rieducato alla omosessualità in sala stampa allo Stadium, ogni domenica, da ""quelle brave"" in #QuoteRosa arcobaleno 🌈 del #ddlZan , alternativamente alla rieducazione omosessuale in carcere per 6 anni. Dopo potrà dire ""frocia"" 😂 [URL]";1;0
400;"sono stato chiamato , frocio,finocchio, culattone,rotto in culo,busone ,ecc........ ""Variegato"" mai. Ma quanto se scemi questi del #m5s? #omofobia [URL]";0;0
401;@user_abcdef Porcodio allora so na donna frocia;0;0
403;nella giornata contro la omotransfobia ho beccato un nuovo cliente gay dichiarato… cosa c’entra? nulla , basta che paghi e che sia corretto… io farò la mia parte con professionalità;0;0
405;Sogno il giorno che dover fare #outing non saranno più i #gay ma gli #omofobi. #omotransfobia;0;0
412;Non sono omofobo ma non si può parlare di comunità LGBT nelle scuole altrimenti mio figlio diventa gay o trans Ah e sentiamo perché non vorresti un figlio gay o trans?Per quale motivo assolutamente non legato all'omotransfobia?;0;0
417;@user_abcdefghij Una mezza frocia ti manda a fanculo e spera che ti possa venire la diarrea 💕💕;0;1
419;- tuo figlio? - gay - e tu? - diventato gay anch'io - ma a nessuno della tua famiglia piace più la figa? - a mia figlia… Ne và matta! #omotransfobia;0;0
421;Rischio 3 guerra mondiale, niente gas, bollete stellari, benzina che schizza in alto, problemi di grano, gente che finirá in strada (gay, etero, trans, bianchi o neri che siano) e nel mentre andiamo a dare armi ai giallo-blu e PirLetta pensa ddl zan e ius soli/scolae.SVEGLIATEVI;0;0
439;RT @user_abcdefghi La destra ferocia che ci difende dalla sinistra frocia...;1;0
449;"@user_a si! poi il pezzo di jk che fa ""la tua troia ha rotto il ca e-e-erba nel culo, vengo da amsterdam! cago l'olandaa gang shit, sei solo uno snitch te lo leggo in faccia"" 😻";0;0
452;ad ogni mio “no, non mi va/non sei il mio tipo” corrispondono carrellate di odio gratuito e calunnie nei miei confronti solo perché i gay® riescono a metabolizzare un rifiuto e io che mi mortifico facilmente soffro per colpa di questi finocchi che madre natura ha coltivato male;1;0
456;Da etero dico: meglio gay che avere tutta quella m***a nel cervello che giustifica e rende ovvie violenze gratuite ed inutili per futili motivi #Cosenza #gay #omotransfobia #omofobia #19maggio [URL];0;0
466;Cosenza 16enne aggredito dallo zio perché gay: “Adesso muori a casa”. Nel mondo che vorrei, questo omofobo, per contrappasso, sconterebbe la pena raccogliendo le saponette nella doccia del carcere. #Cosenza #omofobia #20maggio #LGBTQIA #ddlZan #omotransfobia;0;0
469;@user_abcde @user_abcdefg Che paese di merda, è più importante dar la libertà ai froci di sposarsi che dare il diritto al lavoro alla gente sia essa frocia etera o aliena. Pazzesco;1;0
474;@user_abcdef @user_abcd troia succhiacazzi si può dire?;0;0
478;@user_a @user_abcde io non sono frocia come voi due lasciatemi in pace cosa volete da me;1;0
500;quanto è frocia la amo vuole la mappa cartacea per girare i giardini [URL];0;0
516;@user_abc silvia, sei una frocia di merda;1;0
520;@user_abcdefghi @user_abcdefghij la squadra era già frocia di suo. con certi che abbiamo non basterebbe manco l'elettroshock. pirlo buttato allo sbaraglio totale bisogna dirgli geazie che ga avuto le palle di accettare una situazione simile. Chi l'avrebbe fatto? Conte non di certo.;1;0
542;@user_abcde Quindi, ricapitolando, posso discriminare una persona in quanto russa ma non in quanto gay, diverso, frocio, bulliccio, caghineri, femminiello, busone, bucaiolo ecc ecc????;1;0
564;"Tiggi"" il vaiolo delle scimmie deriva da rapporti sessuali tra 2 dello stesso sesso, attenzione però, non è una malattia dei gay come scrivono in certi social"" Da Huston è tutto passo e chiudo";0;0
576;firmato una frocia in sessione:(;0;1
584;Mi hanno invitato ad una serata frocia in discoteca anni 80 ma come stracazzo dovrei vestirmi;0;0
600;@user_abcd La bella dc prima di diventare frocia;0;0
631;@user_abcdefghij Pensavo che era sufficiente, ricchione , frocio, busone, finocchio, culattone...;1;0
632;Oggi in farmacia per comprare qualcosa contro la nausea che in questi giorni mi uccide, con la farmacista che continuava ad insistere perché facessi un test di gravidanza. Amo, so frocia, che ci faccio con un test di gravidanza? Inizio una collezione?!;0;1
650;- ProVita - ProArmi - Contro l’aborto - ProPena di Morte - ProArmare gli insegnanti in risposta alle stragi nelle scuole USA - Contro altre etnie, religioni, gay, trans, e qualsiasi essere umano con una parvenza di diversità rispetto alla loro “normalità” #pensieriepreghiere [URL];1;0
656;"Sul suo zaino le hanno scritto ""frocia"", con il disegno di una croce. Al suo ingresso a scuola le hanno chiesto: ""Ma perché non ti impicchi?"". [URL]";0;0
668;una mano frocia mi attacca [URL];0;0
684;@user_abcd Qui ha proprio detto fuck the label, so frocia;0;1
685;"Sono troppo piccoli per parlare di queste cose! Non troppo piccoli per bullizzare una compagna chiamandola frocia e invitandola ad impiccarsi; magari se gli aveste parlato, ora non sarebbero mostriciattoli senza cuore già a metà strada per il narcisismo patologico! #DDLZan";0;0
693;Se l'empatia è gran parte frocia....non stiamo messi bene sul piano della pace🤣.;0;0
694;E dopo la ragazzina di 12 anni chiamata frocia e bullizzata senza pietà, ecco 1 altro caso. Sempre MALEDETTI quelli che hanno affossato il ddlZan [URL];0;0
721;non ho veramente letto quella notizia della frocia che dovrà fare un film eter0 x favore ditemi che non è vero sennò guai [URL];0;0
735;@user_abcdefghij ho preso 6 in matematica porca mannaggia mi ha abbassato di brutto e mi perdo l’otto in pagella che serviva per la borsa di studio, frocia;0;0
738;oggi per colpa del testo jo mi stavo per commuovere quella frocia;0;0
749;rivolta frocia tutti i giorni porcodio;0;1
751;@user_abcdefgh @user_abcdefghi L'uomo moderno è davanti a un bivio: ustionarsi i piedi nella sabbia ed essere libero oppure camminare sulla passerella frocia nell'inferno del lido. Io personalmente non ho dubbi su quale strada prendere;0;0
754;@user_abcdefghi Io omofobo? A Napoli tengo uno zio ricchione, è tanto una brava persona. (Cit.);0;0
755;@user_abcdef Vieni ad allenarti con me, la mia playlist è sempre aggiornata con roba frocia!;0;1
757;@user_abcdef @user_abcd Concordo, checca è uno spettacolo;0;0
758;@user_abcd @user_abcdefghi @user_abcdef @user_abcde @user_abcdefgh Se vuoi metto anche tua madre..ricchione..;1;0
764;"Sono diventato una checca. Una volta nei siti pirata avevo la residenza, ora con tutti gli abbonamenti che ho le mie chat sono intasate di ""mA sITo X è PERiColoSo pEr mi CoMBiuTer?"" Time flies";1;0
765;Il prossimo ricchione che fa sta roba lo tiro sotto con l’auto [URL];1;0
771;@user_abc Elon a me la devi dare la macchina sono pure io ricchione;0;1
772;"E:""Io ordino la pizza dagli americani"" Io:""Sei la vergogna del popolo italiano, Il duce ti farebbe impiccare"" E:""Probabile sono donna e pure frocia""";0;1
776;Happy #PrideMonth e ricordatevi che l’orgoglio si celebra non solo quando andate a ballare nelle discoteche gay, ma anche quando si tratta di metterci la faccia e combattere per la causa perché altrimenti il ricchione lo state facendo solo col culo degli altri e non è carino 🌈♥️;0;1
777;RT @user_abcdef Il prossimo ricchione che fa sta roba lo tiro sotto con l’auto;1;0
782;@user_abcdefg Bro ma ti rendi conto che così pari solo un succhiacazzi per quell’altro frocio 😂;1;0
786;@user_abcdefg L’alternativa è chi tifa per il ricchione;1;0
789;RT @user_abcd Incroci una checca negra sul bus, e la vita ti sorride. [URL];1;0
791;@user_ È un ricco bollito che ha fatto sempre il ricchione con il culo degli altri. Scusate l'espressione.;1;0
792;@user_a @user_ab Se lo merita e spera pure di essere ripescato il ricchione;1;0
793;@user_abcdefgh A…pure checca oltre che pippa? 😂😂;1;0
796;@user_abcd Una checca isterica sto criminale #OMS;1;0
797;@user_abcdefghij *sono ricchione. (senso andiamo);0;0
800;@user_abcdef amo mi mandi ricettina voglio cucinarli al mio ricchione;0;1
801;L'erede di Lukaku l'estate scorsa si liberava a costo zero ma noi abbiamo preferito prendere zio Dzeko e un ricchione in attacco per sostituire 20 gol e 10 assist [URL];1;0
802;Mio fratello si è trasferito a Milano e ogni settimana scende a Napoli per rompermi 3/4 di cazzo chiamandomi ricchione. Ma in che zona di Milano vive ? Possibile che nessun ricchione lo prenda a sprangate in culo porca troia;0;0
806;RT @user_abcdefg anche se mi darebbe del ricchione;0;0
807;@user_abcdefghij Sei la numero uno la troia succhiacazzi;0;0
809;ho letto tre capitoli e forse leorio sta per fare una cosa molto frocia io ci spero;0;0
811;@user_abcd @user_abcdef -per riproclamarlo E BASTA. Se lo usano altri è solo continua oppressione. Per di più Harry non è un vostro amico, e non vi dovete permettere di dire certe cose. Se una mia amica mi chiama frocia/troia non me la prendo perché hanno il permesso di farlo ma lui non lo conoscete.;0;0
812;@user_ab Amika mia fatevi benedire. Da un prevt ricchione.;0;1
814;@user_abcd @user_abcdefgh Guarda che se paragoni l'Italia alla donna, la Sboldrini e le femministe si incazzano... era meglio un ricchione, così erano tutti contenti...;1;0
816;Canada è un repubblica frocia islamica [URL];1;0
817;Manco fa il sottone perme quel ricchione;1;0
818;@user_abcd Sei ricchione giusto ste scarpe ti puoi comprare;1;0
820;iniziò il pride month con mia madre che da del ricchione a un ragazzo con me bisessuale accanto 😍;0;0
821;"@user_abc Lascia stare. Che con una canotta così e come ci fosse scritto sopra ""sono checca""";1;0
824;io sono sicuro che se vado al nord scopo, sono tutte troie la se sei vergine al nord sei un coglione/ricchione;1;0
826;@user_abc Meglio, il charlie manson belga è più forte della checca olandese.;1;0
827;ti rompo il setto nasale ricchione di merda;1;0
829;@user_ab Nono era per dire Però se uno si atteggia troppo da checca mi da fastidio;1;0
832;@user_abcdefg frigio, bastardo, pezzo di merda, coglione, ritardato, ricchione, inferiore, mongolo, vagabondo, fallito, disonesto, feccia della società, disadattato;1;0
838;"comunqur parlando di un'amica con i miei e i miei vicini l'ho chimata il mio amore e giuseppe ha detto ""ah quindi sei una frocia. non fa nulla, ti accetto lo stesso."" (facendo il segno dell'accetta) non so bene come sentirmi a proposito";0;0
839;mi ha guardato in faccia e mi ha chiamato ricchione [URL];0;0
840;@user_abcd Ditemi di checca paone vi prego....;1;0
843;@user_abcdefg @user_abcdef @user_abcdefg Ok quindi anche lei che lo registra e riprende mentre è fatto, ubriaco o incazzato commette un reato, come se si stesse preparando per questo. Lei che lo insulta verbalmente e gli da della checca perché preferisce ritirarsi piuttosto che scontrarsi è ancor più grave;0;0
844;@user_abcdefgh @user_abcdefgh Sarri non aveva tutti i torti, carattere da checca isterica.;1;0
845;@user_abc Ricchione o frocio, rispondi sinceramente;1;0
848;@user_abcdefghi Wtf. Ma tu hai la bandiera frocia nel profilo, non devi temere nulla.;0;1
850;io e vane due ricchione x yujin;0;1
851;"bro comunque sei frocio cazzo, e non nel senso che ""gay"" è un insulto, frocio nel senso che te piace prenderla in culo che non se spiega perché fai te cose imbarazzanti 💀 una troia che non rispetta il suo corpo per le attenzioni di un'altra troia";1;0
855;@user_abc @user_abcdefg boh, non credo che Sun Tzu si mettesse a disinfettare le strade come una checca qualsiasi. Al governo cinese di oggi piace sottolineare la continuità col passato ma in realtà sono solo un branco di comunisti, che è un'ideologia e un modo di essere e di pensare occidentale 👍;1;0
857;@user_abcdefgh Mi presento son l’orsetto ricchione. E come avrai capito, adesso t’inc… (bip);1;0
858;Poca gente che li guarda, c'è una checca che fa il tifo Se #LucioDalla avesse scritto #AnnaEMarco nel 2022 sarebbe stato accusato di omofobia, lui. Invece ha scritto una canzone immensa.;1;0
859;Ieri partita di merda di Leão oggi la checca francese. Finita la magia. [URL];1;0
864;Un'altro gay ricchione, ma che cazzo ce ne frega vai su grindr;1;0
865;@user_abcdefghi @user_abcdefg @user_abcde Senti ma a me ernesto semvra un po ricchione;1;0
868;io, checca e la nostra fissa per i supermercati [URL];0;0
869;povere donne etero cancellate dalla comunità frocia 😔👊🏼 [URL];0;0
870;posso sapere che cazzo di colore di capelli hai brutto ricchione [URL];1;0
875;oggi il mondo mi sta urlando contro che sono un ricchione colossale senza speranza ed io gli sto dando ragione;0;1
879;@user_abcdefg Dybala viene accusato contemporaneamente di essere frocio/mezza checca e di essersi rovinato andando appresso alla figa. Misteri del J-Boomer;0;0
884;@user_abc @user_abc Mica sono ricchione come cale che si mette le ciglia finte e si colora le sopracciglia;1;0
886;Pellegrini fa doppio tunnel a Kimmich e Goretzka❤️. Ora mi chiedo perché cazzo il checca non lo ha fatto mai gioca mezzala invece che mettere quel surgelato di Verratti;1;0
889;@user_abcdef @user_abcdefgh @user_abc @user_abcdefgh @user_abcde @user_abcdefghi @user_abcdef @user_abcdef Non sono ricchione Non mi chiamo Fifì;1;0
890;Il mondo cambia ma la fiaba è quella. A sto punto facciamo Geppetto ricchione e così giustifichiamo il fatto che ha creato Pinocchio [URL];1;0
891;"Nel paese in cui il diritto all'aborto verra meno. Quello in cui sono nel mirino i matrimoni di persone dello stesso sesso Cosa chiedono i predicatori ""cristiani"" ? La morte dei gay. [URL]";0;0
892;@user_abcdefg pk sei un ricchione sei più sottone di non so cosa vergogna !!;1;0
894;oggi imbestialito, uno a lavoro mi fa “hai delle mani da ricchione”;0;0
895;@user_ab le mie mani da ricchione che arrivano sulla sua faccia di merda a 70 m/s;0;0
907;Le mie coinquiline mi hanno chiesto di parlare col padrone di casa il quale non sospetta minimamente che io sia ricchione sarà divertente spiegargli la rainbow flag in camera [URL];0;1
909;@user_abcd @user_abcdefghij Ci hanno segnalato che sei ricchione.;1;0
910;"@user_abcdefghi La solita GRIDOCRONACA del cazzo !! Dire che sei FASTIDIOSO @user_ab con le tue urla da, checca non posso dirlo perché certa""gente"" si offenderebbe, omosessuale isterico è ancora dir poco";1;0
912;@user_abcdefgh @user_abcde parla il ricchione che ascolta i lerci;1;0
914;@user_abcdefgh Solita checca che va allo stadio per fare le foto, a cantare la prossima volta;1;0
916;@user_abcdefghi @user_abcdefghi @user_abcd sei una penosa checca! fai schifo!;1;0
918;"@user_abcdefghi @user_abcdef Quando ero ragazzo ( negli anni '70) era naturale salutarsi con un :"" ciao ricchione, come stai?).";0;0
919;In macchina in video chiamata con la mia amica Roxana, una culattona frocia matura, molto depravata anche lei!!! 🇮🇹🔊😈😛⛓👠🐷 [URL];0;1
920;@user_abcdefgh se nn sei di ceasefire tu non puoi dire ricchione;0;0
921;@user_abcdefghij Sono un ricchione delle tue parti. Mi sputtani per bene? Info di DM così ti spiego bene!!;0;1
923;@user_abcdefghi Si Padrona Donna Filomena ha ragione, sono una checca impotente e mi piace il cazzo nero...;0;1
928;Bloccati a Napoli senza treni con due borse LV in mano la gente che mi chiama ricchione, Ho paura. C;0;0
929;@user_abcde Ma che ho detto!!!? Sei tu che pensi male ricchione;1;0
930;@user_abcdefghi @user_abcdefghij @user_abcdefghij Stesso principio per cui alcune parole dette senza intento di offendere non sono offensive. Es: negro, ricchione, handicappato, ....;1;0
931;"@user_abcdefghij Assolutamente, ma mi riferivo a vari esponenti della nostra destra per cui ""gnooo non puoi toccare la madonna"" e poi ""gnegne ricchione vabbemachevuoichesiatioffendipernullaioparlocomevoglio""";0;0
935;brutta bardassa succhiacazzi, troia di una puttana, prendi la sborra al posto dell'acqua e fai i pompini col culo, zoccola maledetta senza futuro che va avanti a seghe e sborrate in culo, brutta cagna di merda;0;0
937;@user_abcdefg @user_abcd ti stai inventando tutto ricchione;1;0
942;"Resta di fatto che successe la stessa cosa lo scorso anno, adesso stiamo rasentando il ridicolo. Perché così state dando il pretesto all'omofobo tipo di dirvi ""ao, ma che te sei offeso che t'ho chiamato ricchione? Daje scherzavo eh"". State sulla stessa barca mitici";0;0
943;"@user_abcdefghij @user_abcdefgh Vabbè allora però non potete lamentarvi degli omofobi che dicono ""ao ma te stai a lamenta perché t'ho chiamato ricchione? E fatte na risata daje"". Non puoi rispondere al fuoco con il fuoco. C'è gente cattolica ""ally"" che dovreste avere in squadra ed invece be li mettete contro.";0;0
945;Ma la correlazione potentissima tra l'essere ricchione e andare appresso all'oroscopo allo stesso modo in cui un ultracattolico va appresso alla Bibbia, ne vogliamo parlare?;0;0
946;@user_abcde Vorrei capire per chi lavora #Sallusti ? #Berlusconi lo ha cacciato dal #Giornale, si fa pagare per intervenire da #Giletti a @user_abcde e sbotta come una vecchia checca isterica versa la correttissima signora Marija #Zakharova che sta facendo il suo mestiere.;1;0
947;Mi soffermato ad una discussione qui su Twitter, mi domando perché un “omosessuale” può permettersi di dare del morto di figa a un etero, ma l’etero viene processato se da del ricchione o frocio?;1;0
949;@user_abcdefgh Ama io parlo come mi pare essere checca è uno spasso giuro;0;1
952;@user_abcdefg infatti sabato mi sentivo un po’ checca isterica e ho detto dai, facciamo un salto;0;1
957;Qualcuno interessato ad andare al Pride di Roma questo sabato? Offro viaggio da Napoli A/R in giornata e tanta musica frocia in auto, anyone?;0;1
958;"@user_abc @user_abcdefg Esistono frange estremiste, e il modo per tenerle a freno non è dire ""gne gne sei proprio scemo se te la prendi quando ti dico ricchione"" come fa l'80% dei politici, giornalisti e elettori ""di destra"". Tutto qui.";0;0
960;"@user_abcdefg @user_abcdef L'islam è la seconda religione d'Italia. Poi quello che hai detto tu sembra un giustificazione. Perché bisogna irridere una religione e di conseguenza la sua comunità? È come se un omofobo irride la comunità LGBT e ti dice ""ao, t'ho chiamato ricchione ma scherzavo, daje""";0;0
962;"@user_abcde L'importante è comprendere che per i cattolici quell'immagine è offensiva tanto quanto lo è un ""ricchione"" detto a un ragazzo omosessuale per la comunità gay. Tanto difficile rispettare le sensibilità altrui?";0;0
967;@user_abcde Io avrei osato un sacrificio umano, tipo un ricchione preso a caso in strada. Ma sono gusti eh.;1;0
968;"@user_abcd @user_abcde Ecco: qui ti volevo. Hai appena confermato che la discriminate è la vittoria,della morale e delle offese alla cittài non ve ne può fregar di meno. Ma del resto cosa aspettarsi da uno che usa termini quali ""lota"", ""pappone"",""sporco romano"" e ""ricchione""? [URL]";0;0
969;@user_abcdefgh @user_abc Risposta esatta chi scopa è ricchione;1;0
970;@user_abcdefghi @user_abc stai zitto ricchione, a farsi la notte in cella saranno sempre i soliti, mentre i delinquenti veri non la vedono nemmeno da lontano una guardia. vaffanculo;1;0
971;No. Tu sei solo mezzo ricchione 👍 [URL];1;0
972;@user_a @user_abcd cazzo fai fatteli crescere e fai le treccine ricchione;1;0
975;Sempre detto che dovevo nascere ricchione. Sempre detto. [URL];0;0
981;@user_abcd @user_abcdef Forse devi usare la parola ricchione;1;0
982;@user_abcdefgh @user_abcd Io la impregnerei prima con l'olio di scarto di fritto, e poi l'accenderei, con un fiammifero... I capelli glie li farei... stile Malgioglio, così i suoi seguaci, scambiandolo per una checca, se lo incul...bbero a sangue..;1;0
984;"@user_abcdefg Anche per fare il femminiello ci vuole un fisico adatto e questo coso in foto non ha i requisiti base. ""uomo, padre, marito... e pure ricchione!"" Povera moglie e poveri figli... Evoluzione dice? Preferisco rimanere troglodita 🤣🤣🤣";1;0
987;Tweet e commenti deliranti. Questi sono i danni della russofobia frocia e decontestualizzata che abbiamo subito negli anni precedenti. [URL];1;0
994;Non ho letto nulla ma nel dubbio Sala ricchione;1;0
998;comunque penso che l’intrattenimento giornaliero che ricevo da checca e alex per due peluches è incredibile come fate voi;0;0
999;@user_abcd È una cripto-checca isterica. Dopo aver leccato il culo al Lider Maximo per tanti anni, non mi sorprende il suo tono da poveraccio. Avranno 5000 testate nucleari, ma quanto a insulti, non venga a rompe er cazzo a noi italiani.;1;0
1003;@user_abcde @user_a Ma io parlavo dell'altro ricchione che fa assist;1;0
1014;Il 4 è l’onomastico di checca frenzis ci ubriachiamo 🤙🏻🤙🏻;0;0
1015;#Medvedev ricchione e pederasta come il suo capo Putin.;1;0
1016;@user_abcd No guardi avevo ordinato il salmone in crosta di sesamo ma c’è un pelo nero e ricciolo nel piatto, non è che potreste portarmene un altro lurida troia succhiacazzi grazie gentilissima;0;0
1017;@user_abc Ricordata negli anni '80 da Faletti/Vito Catozzo: “che se io saprei che mio figlio diventerebbe ricchione, nudo ce lo farei mangiare, il ritratto di Dorian Gray”.;0;0
1019;Oggi frocia nel boschetto con il nuovo vestitino da culattone, in atteggiamenti espliciti!!!! 🐖🌳🌲🌴 [URL];0;1
1020;Allora... Sto aspettando una risposta... Checca o toro? Ti scandalizza tanto dirmi che sei una checca? 🤣🤣🤣 [URL];1;0
1022;@user_abc checca stai beninissimo mado che bonaaaa [URL];0;1
1024;@user_ab Eriksen, Perisic, Bastoni, Lukaku... Ma non faceva prima a rimanere da noi invece che fare la checca isterica e andarsene?;1;0
1025;"- Forrest Gump: ""Salve, sono Forrest Gump."" - Autista Bus Esercito: ""Non gliene frega uno stracazzo a nessuno chi sei, pezzo di merda! Sei meno di un verme schifoso che striscia nella spazzatura, metti quel culo da checca sull'autobus, sei nell'esercito ora!"".";0;0
1026;@user_abcdefg Sicuro che la checca sia al posto di ounas e non a quello di poli?;1;0
1028;@user_abcdefghi @user_abcdefghi Grazie per dedicare il tuo tempo a me ..mi lusinga ..piaccio alle donne e ad una checca ora;1;0
1029;"mettessero sui pacchetti di sigarette ""se fumi ti nasce il figlio ricchione"" letteralmente non fumerebbe più nessuno";1;0
1030;@user_abcdefghij Tuoi amici teroni a cui dai 800 euro al mese...traditore del nord,pagherai alle urne 🤡🤡 senza il ricchione che ti faceva la propaganda sei zero;1;0
1038;@user_abcdefghi @user_abcdefghi Oggi avrò di che parlare coi colleghi.. un etero analfabeta che conquista l attenzione di una checca alfabetizzata 😎 mi raccomando vai a fare la quarta dose che forse ti aiuta a dimenticarmi. Ciao;1;1
1044;@user_abcde @user_abcdefg @user_abcdefg @user_abcde A quindi siete convinti che se tornasse lukaku farebbe bene ancora?? Poi se fa la checca come al chelsea non piangete dicendo e ma tanto non ci serviva.... Siete solo dei nostalgici che stanno ancora rosicando;1;0
1045;@user_abcdefgh Solo se entrambi si schifano o uno dei due è ricchione;1;0
1048;Quella checca di Macron dice che non bisogna umiliare Putin e niente,fa già ridere così.;1;0
1050;"@user_abcdefgh ""Pure ricchione........"" (cit. Quo Vado - Checco Zalone)";0;0
1052;Adoro questo vestitino!!! Molto cula frocia!!! [URL];0;1
1053;bianca frocia — Per favore non spargere mai più voci su di me per di più se false come questa, se hai qualcosa da dirmi i miei dm sono sempre aperti e con questo ti saluto [URL];0;0
1060;@user_ab te ne manca una....checca isterica;1;0
1061;ma sto ricchione su sportitalia che dice se la Roma vuole 60 ml per zaniolo allora zaniolo rimane alla Roma,però bastoni a 60 è una valutazione giusta... mortacci vostra e de sti servi culattoni;1;0
